Index,Año,Sexo,Total,conflictos_laborales,sin_respuesta_exigencias,condiciones_riesgosas,acoso,pension,aumento_superacion,independizarse,retomar_estudios,embarazo,un_familiar,otros,indefinido
0,2010,H,312245,37552,5341,43149,12099,15422,64166,4307,57751,3037,1759,64577,3085
1,2011,H,320328,31967,10196,43930,6793,14326,70676,4028,66228,2453,444,67820,1467
2,2012,H,348849,44104,6806,67957,7800,18396,69277,2170,52209,14020,2716,57586,5808
3,2013,H,327429,31462,9962,53847,6546,19756,66720,3023,73547,6956,1036,50895,3679
4,2014,H,362377,35646,4725,67601,9910,19784,83729,7986,62705,5527,1965,58945,3854
5,2015,H,358607,36564,5172,64299,9515,19594,79734,5459,72285,5451,2330,55226,2978
6,2016,H,366366,39857,7219,72889,7836,22626,80198,3317,73048,5999,2327,47935,3115
7,2017,H,392982,33417,4901,56909,10418,17407,88376,5473,99269,10154,2937,60684,3037
8,2018,H,351361,31387,10233,59715,6658,13300,87338,4547,71826,5262,2082,54588,4425
9,2019,H,403193,34111,16340,72801,13410,21721,74610,5420,87709,13064,3219,57393,3395
10,2020,H,441392,43605,11412,100972,12755,22758,86442,6602,81639,9663,2001,57077,6466
11,2010,M,297294,22793,2642,41539,7864,16548,33528,632,31687,76943,12104,50816,198
12,2011,M,308203,19269,1441,39600,9922,7237,46093,2801,35791,82941,9739,51930,1439
13,2012,M,318932,29032,1009,44313,7455,10589,33273,1494,37595,96857,7551,49157,607
14,2013,M,348004,23749,4659,47683,14944,13922,38471,4155,41633,91081,8316,58512,879
15,2014,M,349992,19864,3280,47391,8538,12798,39544,2068,50401,103812,6952,53505,1839
16,2015,M,331063,21587,1929,46012,10693,12502,34977,1795,40764,99524,7781,52741,758
17,2016,M,393366,23416,2514,48496,9349,16819,44751,1095,47312,131943,6898,60081,692
18,2017,M,386612,24254,3390,57892,7643,15027,44364,1602,58200,106891,6924,58741,1684
19,2018,M,381156,20237,2723,50152,7150,13351,47585,1251,56890,116995,10168,51111,3543
20,2019,M,380769,24866,592,50627,10132,13901,49519,888,53936,118855,5558,47879,4016
21,2020,M,393694,28133,7530,60868,10931,11557,45431,2289,55703,99640,9248,56815,5549
